COLDETKEY,ST_VEH_TYPE_DESC
237640,Passenger Vehicle
242140,Truck/SUV
242140,Passenger Vehicle
242140,Passenger Vehicle
242140,Not Stated
235740,Passenger Vehicle
202040,Truck/SUV
202040,Passenger Vehicle
229860,Buses
229860,Truck/SUV
211140,Passenger Vehicle
211140,Truck/SUV
209420,Passenger Vehicle
209420,Passenger Vehicle
242040,Passenger Vehicle
242040,Truck/SUV
274837,Truck/SUV
274837,Truck/SUV
204440,Passenger Vehicle
204440,Passenger Vehicle
236040,Truck/SUV
236040,Passenger Vehicle
228340,Buses
228340,Other
241540,Truck/SUV
241540,Passenger Vehicle
223180,Commercial Trucks
223180,Passenger Vehicle
220480,Passenger Vehicle
220480,Not Stated
229160,Passenger Vehicle
229160,Passenger Vehicle
217380,Passenger Vehicle
217380,Passenger Vehicle
220580,Truck/SUV
220580,Passenger Vehicle
185180,Passenger Vehicle
185180,Passenger Vehicle
196497,Truck/SUV
196497,Truck/SUV
194700,Buses
194700,Passenger Vehicle
202140,Passenger Vehicle
202140,Passenger Vehicle
199540,Truck/SUV
199540,Not Stated
218500,Passenger Vehicle
218500,Passenger Vehicle
233100,Truck/SUV
233100,Passenger Vehicle
190180,Passenger Vehicle
190180,Passenger Vehicle
231200,Truck/SUV
231200,Truck/SUV
231200,Passenger Vehicle
231200,Two-Wheeled
216880,Passenger Vehicle
216880,Passenger Vehicle
216880,Passenger Vehicle
236540,Buses
236540,Passenger Vehicle
223580,Passenger Vehicle
223580,Not Stated
192780,Passenger Vehicle
200540,Passenger Vehicle
200540,Truck/SUV
225100,Truck/SUV
225100,Passenger Vehicle
228040,Passenger Vehicle
228040,Passenger Vehicle
221180,Passenger Vehicle
221180,Passenger Vehicle
221180,Truck/SUV
221180,Passenger Vehicle
230180,Two-Wheeled
230180,Truck/SUV
199240,Passenger Vehicle
318200,Passenger Vehicle
318200,Passenger Vehicle
184780,Passenger Vehicle
184780,Truck/SUV
206800,Passenger Vehicle
206800,Not Stated
195100,Truck/SUV
195100,Truck/SUV
196100,Truck/SUV
196100,Truck/SUV
196100,Passenger Vehicle
196100,Passenger Vehicle
210940,Truck/SUV
210940,Truck/SUV
210940,Passenger Vehicle
210940,Passenger Vehicle
234800,Passenger Vehicle
234800,Truck/SUV
209920,Passenger Vehicle
209920,Not Stated
239640,Two-Wheeled
239640,Truck/SUV
222680,Truck/SUV
228440,Passenger Vehicle
228440,Passenger Vehicle
194400,Not Stated
194400,Truck/SUV
203940,Passenger Vehicle
331000,Commercial Trucks
331000,Passenger Vehicle
218400,Passenger Vehicle
218400,Passenger Vehicle
188380,Passenger Vehicle
188380,Passenger Vehicle
232000,Truck/SUV
232000,Passenger Vehicle
221580,Truck/SUV
338600,Passenger Vehicle
338600,Not Stated
332600,Passenger Vehicle
332600,Truck/SUV
363780,Not Stated
379220,Truck/SUV
379220,Truck/SUV
246980,Passenger Vehicle
328700,Truck/SUV
323000,Truck/SUV
323000,Not Stated
307980,Truck/SUV
307980,Passenger Vehicle
358860,Truck/SUV
358860,Truck/SUV
336900,Commercial Trucks
336900,Truck/SUV
348900,Passenger Vehicle
326800,Passenger Vehicle
326800,Truck/SUV
388040,Passenger Vehicle
388040,Passenger Vehicle
346800,Passenger Vehicle
346800,Commercial Trucks
358660,Truck/SUV
358660,Passenger Vehicle
323700,Truck/SUV
323700,Truck/SUV
367880,Not Stated
367880,Passenger Vehicle
327100,Passenger Vehicle
327100,Truck/SUV
327100,Passenger Vehicle
353160,Passenger Vehicle
353160,Passenger Vehicle
293577,Passenger Vehicle
293577,Truck/SUV
380420,Truck/SUV
380420,Truck/SUV
365680,Truck/SUV
365680,Passenger Vehicle
365680,Truck/SUV
263480,Passenger Vehicle
263480,Truck/SUV
331600,Not Stated
331600,Passenger Vehicle
251800,Passenger Vehicle
251800,Passenger Vehicle
248880,Truck/SUV
248880,Truck/SUV
366080,Passenger Vehicle
366080,Truck/SUV
351280,Passenger Vehicle
351280,Truck/SUV
351280,Passenger Vehicle
355260,Truck/SUV
355260,Truck/SUV
355260,Truck/SUV
355260,Truck/SUV
269280,Passenger Vehicle
269280,Not Stated
346300,Passenger Vehicle
346300,Passenger Vehicle
339600,Truck/SUV
339600,Truck/SUV
297920,Passenger Vehicle
297920,Not Stated
337800,Commercial Trucks
337800,Passenger Vehicle
344500,Passenger Vehicle
320700,Passenger Vehicle
320700,Truck/SUV
281380,Passenger Vehicle
281380,Passenger Vehicle
281380,Passenger Vehicle
331700,Passenger Vehicle
331700,Truck/SUV
382920,Truck/SUV
382920,Truck/SUV
301300,Passenger Vehicle
376120,Passenger Vehicle
376120,Passenger Vehicle
376120,Truck/SUV
386240,Passenger Vehicle
386240,Buses
316080,Truck/SUV
316080,Passenger Vehicle
319900,Two-Wheeled
319900,Not Stated
271420,Passenger Vehicle
271420,Truck/SUV
323900,Two-Wheeled
323900,Passenger Vehicle
365480,Truck/SUV
303120,Passenger Vehicle
303120,Passenger Vehicle
386640,Passenger Vehicle
386640,Truck/SUV
359960,Truck/SUV
359960,Truck/SUV
258060,Truck/SUV
258060,Truck/SUV
352260,Truck/SUV
321100,Truck/SUV
321100,Truck/SUV
385140,Truck/SUV
385140,Not Stated
345100,Not Stated
345100,Truck/SUV
302640,Passenger Vehicle
302640,Commercial Trucks
278800,Truck/SUV
278800,Truck/SUV
271840,Passenger Vehicle
271840,Passenger Vehicle
346500,Truck/SUV
335800,Truck/SUV
314640,Passenger Vehicle
331800,Not Stated
331800,Two-Wheeled
339400,Passenger Vehicle
339400,Truck/SUV
339400,Truck/SUV
327300,Passenger Vehicle
327300,Passenger Vehicle
324600,Passenger Vehicle
324600,Passenger Vehicle
324600,Truck/SUV
324600,Truck/SUV
258460,Passenger Vehicle
258460,Passenger Vehicle
303740,Passenger Vehicle
303740,Truck/SUV
360680,Truck/SUV
360680,Truck/SUV
340200,Passenger Vehicle
340200,Passenger Vehicle
340200,Passenger Vehicle
385340,Truck/SUV
385340,Passenger Vehicle
335700,Truck/SUV
335700,Truck/SUV
335700,Passenger Vehicle
324900,Passenger Vehicle
371380,Passenger Vehicle
301400,Passenger Vehicle
301400,Passenger Vehicle
306780,Passenger Vehicle
306780,Passenger Vehicle
306780,Passenger Vehicle
306780,Truck/SUV
314740,Passenger Vehicle
314740,Truck/SUV
309780,Truck/SUV
309780,Commercial Trucks
378520,Two-Wheeled
378520,Passenger Vehicle
379120,Truck/SUV
379120,Truck/SUV
379120,Truck/SUV
253100,Passenger Vehicle
267780,Passenger Vehicle
267780,Passenger Vehicle
356760,Passenger Vehicle
356760,Passenger Vehicle
